id,name,price_numeric,review_scores_location
1400851328007938524,Coastal Unit! .5 miles to Beach!,47.0,5.0
988094875774593006,The Rose Room,47.0,5.0
1258881972080737629,Cozy private room with lake view,47.0,4.96
40207508,"Large 1BR, windows on 3 sides",47.0,4.94
46644435,LUXURY # 8 FIRST FLOOR. CLOSE TO THE BEACH.,47.0,4.89
32224632,"Luxury studio #14, close to the beach.",47.0,4.88
38458944,Studio in DT Ft Lauderdale! Walk 2 restaurants!.,47.0,4.85
27460938,Cozy queen room near sawgrass mall,47.0,4.84
1267653138331255870,Beautiful Studio By Hard Rock!,47.0,4.84
1105159065645552221,(1411C) Bedroom in Pompano Beach,47.0,4.83
53643300,"Deluxe 1 King Bed w/ Kitchen,1 Blk from the Beach",47.0,4.83
1267659961062857336,Cozy Studio by Hard Rock!,47.0,4.81
21926184,A Tiny Room for 1-2 persons,47.0,4.8
634723751533043174,Calm stay king Bedroom with private bathroom,47.0,4.78
1195561145892432895,Clean  Lakefront Queen Bedroom/ W Hot tub,47.0,4.78
35414616,Charming suite/private entrance/pool access,47.0,4.77
1127416825784519575,Cozy room Fort Lauderdale,47.0,4.74
40804483,Cutest Micro-Studio Kitchenette | Pool | parking,47.0,4.74
47866176,Beautiful Studio close to shopping and the beach,47.0,4.73
4010331,4Palms Guestroom in private  home,47.0,4.72
42217812,Private in-law Suite by Aventura & Gulfstream Park,47.0,4.71
732678582462561326,Evy's Garden Studio,47.0,4.69
1170251745179704014,*Seaside Getaway* - Suite w/ Private Bathroom,47.0,4.5
1446976090422040736,Pelican Cove: Studio with Full Kitchen and Patio,48.0,5.0
31569060,"Weston , Bedroom/Habitación ,wifi, parking",48.0,5.0
1359754859283393672,Self-love Manifesting Hideaway,48.0,5.0
960186713986242726,"Nice, Cozy room in a lovely home",48.0,5.0
1250763738766684813,Welcoming King Bed Guest Suite-3 mi from beach,48.0,5.0
1489210961117904200,Tiny Home in Oakland Park,48.0,5.0
1441376084641159703,The Green House,48.0,5.0
563674078080512366,"Private Room in Pool Home - New Bath, Free WiFi!",48.0,4.96
11048955,Petite Private Room w/Canal View in Spacious Home,48.0,4.92
1400847768125469910,Coastal unit! .5 miles to Beach!,48.0,4.9
730706894929141204,Charming Room,48.0,4.9
30820046,"Luxury studio # 5, close to the beach.",48.0,4.89
23339410,cozy room close to downtown,48.0,4.89
16575856,Cozy home near the beach,48.0,4.86
1107297424196638676,"Be welcome, be home",48.0,4.86
1379280353993110469,The Charlie's Spot,48.0,4.83
3410222,Eco friendly paradise near Airport/Port/Beaches!,48.0,4.76
1121725057513851259,Pelican Cove: Studio with Private Patio in Pompano,48.0,4.74
1162544021187622024,Private Room #4 near Hard Rock,48.0,4.73
787623964910779576,Beautiful Room near Beach.,48.0,4.73
1416951877324005698,Cozy Room w Private Ent+Parking,48.0,4.71
1045699970351491294,HUGE Pool‼️ Room 5 on the river + Private Entrance,48.0,4.67
847907031951445385,Small room for 2,48.0,4.66
53898282,Vacation spot 3 family stay only  No privacy,48.0,4.65
36674820,spacious and relaxing.  ROOM 1,48.0,4.62
1090138883736483363,Room A in a MaZe‼️,48.0,4.62
1420771430797052177,Beach Paradise,48.0,4.58
1150087701371360830,Studio close to FtLauder Airport,48.0,4.55
1362520167631389959,Modern Room 5 min away from FLL airport,48.0,4.5
729652109328814067,Charming back unit studio apt in triplex!,48.0,4.5
1061110977818979230,Perfect room Fort Lauderdale,48.0,4.5
1414565242605437603,"\"La Finca\"",49.0,5.0
1388374436933581635,Private Suite | Comfort & Rest,49.0,5.0
23249255,Masterbedroom in Pompano Beach,49.0,5.0
1379005155687959737,central location near all,49.0,5.0
1489147521695252163,Into The Blues,49.0,5.0
766944156402500760,6 New and beautiful apt two blocks from the beach.,49.0,4.92
40631567,🏳️‍🌈 #6 Walk to Wilton Drive,49.0,4.92
45908743,Delightful room ❤-near Sawgrass w/private bathroom,49.0,4.91
994066278830412620,Tiny Pad 1Ml to Beach + FREE Heated Pool,49.0,4.87
2028061,"Modern, quaint, fully renovated",49.0,4.85
1127993893897811322,Private Washer/Dryer/Patio+Grill,49.0,4.85
1020718092254991112,Ocean Breeze Paradise! Apt 5A,49.0,4.84
1381549397852136921,Hardrock Guitar Retreat,49.0,4.83
46941815,"\"Luxury #9 first floor two blocks from the ocean\"",49.0,4.83
